community_area,transit_deprivation_score,community_name,rank_group
7,-1.050339982723017,LINCOLN PARK,bottom10
32,-1.0082193180185641,LOOP,bottom10
5,-0.9874522663081006,NORTH CENTER,bottom10
6,-0.9574025456270405,LAKE VIEW,bottom10
8,-0.94983868621691,NEAR NORTH SIDE,bottom10
12,-0.9429972827413252,FOREST GLEN,bottom10
72,-0.92316663667979,BEVERLY,bottom10
74,-0.9053672389841827,MOUNT GREENWOOD,bottom10
9,-0.8839620067890787,EDISON PARK,bottom10
33,-0.8771470574339325,NEAR SOUTH SIDE,bottom10
51,0.7454915195543013,SOUTH DEERING,top10
69,0.7788058640065421,GREATER GRAND CROSSING,top10
67,0.7973898909951069,WEST ENGLEWOOD,top10
26,0.8921170207453022,WEST GARFIELD PARK,top10
68,0.9998723687478881,ENGLEWOOD,top10
27,1.0230165113294107,EAST GARFIELD PARK,top10
36,1.0333977570126112,OAKLAND,top10
40,1.3634667701101266,WASHINGTON PARK,top10
37,1.4136977277169873,FULLER PARK,top10
54,1.7562452835597355,RIVERDALE,top10
