model,beta1,se,r2,n,p,coef_diff_rideshare_minus_taxi,z,acs_dep_income_corr,model3_total_late_night_effect_b1_plus_b3,model3_total_late_night_effect_se,model3_beta3_interaction,model3_beta3_se,model3_beta3_p
Model 1 (Rideshare),-0.19524301169112915,0.16573162901083613,0.6742795340074588,3660088.0,,,,,,,,,
Model 2 (Taxi),-0.030515429252139965,0.06714239126318816,0.7845822760247796,160927.0,,,,,,,,,
Model 3 (Interaction),-0.19336958316932243,0.16297050503361826,0.6638737598760504,3660088.0,0.23541260160579458,,,,,,,,
Model 4 (Dropoff),-0.3026717971346589,0.16952743193914935,0.6727546679848824,3660088.0,,,,,,,,,
Model 5 (Total Fare),-0.1952430116911404,0.16573162901081853,0.6444238711528507,3660088.0,,,,,,,,,
Model 6 (Total Cost),-0.26187190199597804,0.21729725108827794,0.6467812236006906,3660088.0,,,,,,,,,
,,,,,0.35693868920637883,-0.1647275824389892,-0.9212140405810589,,,,,,
,,,,,,,,-0.9521180953855927,,,,,
,,,,,,,,,-0.20955005077474845,0.1843253263652954,,,
,,,,,,,,,,,-0.01618046760542602,0.03499811614431964,0.6438490208158192
