Variable,Model 1 (Rideshare),Model 2 (Taxi),Model 3 (Interaction),Model 4 (Dropoff),Model 5 (Total Fare),Model 6 (Total Cost)
Deprivation Score (Pickup/Dropoff),"-0.195
(0.166)","-0.031
(0.067)","-0.193
(0.163)","-0.303
(0.170)","-0.195
(0.166)","-0.262
(0.217)"
"Median Income (Pickup/Dropoff, $10k)","-0.015
(0.027)","-0.019
(0.010)","-0.015
(0.027)","-0.037
(0.028)","-0.015
(0.027)","-0.020
(0.035)"
Log Distance,"-0.688***
(0.024)","-0.563***
(0.010)","-0.704***
(0.023)","-0.701***
(0.022)","0.312***
(0.024)","0.307***
(0.030)"
Log Duration (minutes),"0.296***
(0.026)","0.132***
(0.013)","0.317***
(0.026)","0.302***
(0.022)","0.296***
(0.026)","0.246***
(0.023)"
Late Night,,,"0.168***
(0.039)",,,
Deprivation × Late Night,,,"-0.016
(0.035)",,,
Hour FE,✓,✓,Hour poly,✓,✓,✓
Day of Week FE,✓,✓,✓,✓,✓,✓
N,3660088,160927,3660088,3660088,3660088,3660088
R²,0.674,0.785,0.664,0.673,0.644,0.647
Clusters,77,77,77,77,77,77
