pickup_ca,population,median_income,cluster_label,rideshare_trip_count,taxi_trip_count,rideshare_trips_per_1000,taxi_trips_per_1000,access_gap_trips_per_1000,foregone_trips_month,foregone_trips_year
1,53169,82733.73983739837,Affluent / low deprivation,36958.0,496.0,695.1042900938517,9.32874419304482,1484.8957099061483,78950.42,947405.04
2,79220,78970.03745318353,Affluent / low deprivation,20476.0,562.0,258.4700833122949,7.094168139358748,1921.529916687705,152223.6,1826683.2000000002
3,52674,109666.66666666666,Affluent / low deprivation,96985.0,2976.0,1841.230967839921,56.498462239435014,338.76903216007895,17844.32,214131.84
4,42180,118952.35892691952,Affluent / low deprivation,37269.0,616.0,883.5704125177809,14.6040777619725,1296.4295874822192,54683.4,656200.8
5,35782,150961.9771863118,Affluent / low deprivation,37218.0,294.0,1040.1319098988317,8.216421664524063,1139.8680901011683,40786.76,489441.12
6,90652,148123.6614209889,Affluent / low deprivation,301639.0,6184.0,3327.4389974848873,68.21691744252746,0.0,0.0,0.0
7,62067,152968.9608636977,Affluent / low deprivation,255227.0,3768.0,4112.120772713358,60.70858910532167,0.0,0.0,0.0
8,91635,150942.91435109513,Affluent / low deprivation,755271.0,52060.0,8242.167294156163,568.1235335843292,0.0,0.0,0.0
9,11398,140316.9014084507,Affluent / low deprivation,1339.0,29.0,117.47675030707141,2.5443060185997544,2062.5232496929284,23508.639999999996,282103.67999999993
10,40074,124196.8279788532,Affluent / low deprivation,4169.0,213.0,104.03253980136746,5.315166941158856,2075.9674601986326,83192.31999999999,998307.8399999999
11,26991,112600.34403669725,Affluent / low deprivation,5604.0,157.0,207.62476381015892,5.816753732725723,1972.375236189841,53236.38,638836.5599999999
12,19763,142795.87089270138,Affluent / low deprivation,1634.0,113.0,82.67975509791025,5.717755401507868,2097.3202449020896,41449.34,497392.07999999996
13,19259,90520.36199095023,Affluent / low deprivation,5761.0,117.0,299.1328729425204,6.075081779947038,1880.8671270574796,36223.619999999995,434683.43999999994
15,64201,102965.08847441417,Affluent / low deprivation,12359.0,169.0,192.5047896450211,2.632357751436894,1987.495210354979,127599.18000000001,1531190.1600000001
16,53535,105789.84989278056,Affluent / low deprivation,22960.0,426.0,428.8783039133277,7.957411039506864,1751.1216960866723,93746.3,1124955.6
17,42548,104925.5352156376,Affluent / low deprivation,2708.0,13.0,63.64576478330357,0.30553727554761684,2116.3542352166965,90046.64000000001,1080559.6800000002
22,71354,126022.04623287672,Affluent / low deprivation,125690.0,581.0,1761.4990049611795,8.142500770804721,418.5009950388205,29861.72,358340.64
24,86453,141863.21860639594,Affluent / low deprivation,230232.0,1400.0,2663.0886146229745,16.193770025331684,0.0,0.0,0.0
28,65370,131249.04096977136,Affluent / low deprivation,405304.0,27733.0,6200.152975370966,424.24659629799606,0.0,0.0,0.0
32,38284,145975.50764077873,Affluent / low deprivation,388746.0,41630.0,10154.268101556787,1087.3994357956326,0.0,0.0,0.0
