pickup_ca,trip_type,trip_count,population,trips_per_1000_residents
1,rideshare,36958,53169,695.1042900938517
1,taxi,496,53169,9.32874419304482
2,rideshare,20476,79220,258.4700833122949
2,taxi,562,79220,7.094168139358748
3,rideshare,96985,52674,1841.230967839921
3,taxi,2976,52674,56.498462239435014
4,rideshare,37269,42180,883.5704125177809
4,taxi,616,42180,14.6040777619725
5,rideshare,37218,35782,1040.1319098988317
5,taxi,294,35782,8.216421664524063
6,rideshare,301639,90652,3327.4389974848873
6,taxi,6184,90652,68.21691744252746
7,rideshare,255227,62067,4112.120772713358
7,taxi,3768,62067,60.70858910532167
8,rideshare,755271,91635,8242.167294156163
8,taxi,52060,91635,568.1235335843292
9,rideshare,1339,11398,117.47675030707141
9,taxi,29,11398,2.5443060185997544
10,rideshare,4169,40074,104.03253980136746
10,taxi,213,40074,5.315166941158856
11,rideshare,5604,26991,207.62476381015892
11,taxi,157,26991,5.816753732725723
12,rideshare,1634,19763,82.67975509791025
12,taxi,113,19763,5.717755401507868
13,rideshare,5761,19259,299.1328729425204
13,taxi,117,19259,6.075081779947038
14,rideshare,15530,47830,324.69161614049756
14,taxi,173,47830,3.616976792807861
15,rideshare,12359,64201,192.5047896450211
15,taxi,169,64201,2.632357751436894
16,rideshare,22960,53535,428.8783039133277
16,taxi,426,53535,7.957411039506864
17,rideshare,2708,42548,63.64576478330357
17,taxi,13,42548,0.30553727554761684
18,rideshare,2342,13755,170.2653580516176
18,taxi,7,13755,0.5089058524173028
19,rideshare,13176,73988,178.08293236741093
19,taxi,25,73988,0.33789263123749796
20,rideshare,4607,23200,198.57758620689657
20,taxi,6,23200,0.25862068965517243
21,rideshare,35742,36350,983.2737276478679
21,taxi,262,36350,7.207702888583219
22,rideshare,125690,71354,1761.4990049611795
22,taxi,581,71354,8.142500770804721
23,rideshare,22152,55015,402.653821684995
23,taxi,61,55015,1.108788512223939
24,rideshare,230232,86453,2663.0886146229745
24,taxi,1400,86453,16.193770025331684
25,rideshare,31379,100278,312.920082171563
25,taxi,110,100278,1.0969504776720715
26,rideshare,4425,16345,270.72499235240133
26,taxi,50,16345,3.059039461609055
27,rideshare,8637,19855,435.00377738604885
27,taxi,86,19855,4.3314026693528085
28,rideshare,405304,65370,6200.152975370966
28,taxi,27733,65370,424.24659629799606
29,rideshare,18705,30355,616.2082029319716
29,taxi,51,30355,1.6801185966068193
30,rideshare,8449,69554,121.47396267648159
30,taxi,32,69554,0.46007418696264774
31,rideshare,36730,34177,1074.6993592181877
31,taxi,146,34177,4.271878748866197
32,rideshare,388746,38284,10154.268101556787
32,taxi,41630,38284,1087.3994357956326
33,rideshare,93923,26307,3570.266469000646
33,taxi,5157,26307,196.03147451248716
34,rideshare,15255,13149,1160.1642710472279
34,taxi,360,13149,27.378507871321013
35,rideshare,15634,18629,839.2291588383703
35,taxi,845,18629,45.35938590369854
36,rideshare,3017,4373,689.9153898925223
36,taxi,268,4373,61.285158929796474
37,rideshare,1268,2186,580.0548947849954
37,taxi,353,2186,161.4821591948765
38,rideshare,11690,24808,471.21896162528213
38,taxi,706,24808,28.458561754272814
39,rideshare,14196,14368,988.0289532293987
39,taxi,517,14368,35.98273942093541
40,rideshare,7391,12362,597.8806018443618
40,taxi,126,12362,10.192525481313703
41,rideshare,113562,24092,4713.680889921966
41,taxi,711,24092,29.51187116055122
42,rideshare,31231,24437,1278.0210336784382
42,taxi,246,24437,10.06670213201293
43,rideshare,24814,46276,536.2174777422422
43,taxi,354,46276,7.649753652001037
44,rideshare,19118,31440,608.0788804071246
44,taxi,674,31440,21.43765903307888
45,rideshare,4214,9492,443.952802359882
45,taxi,46,9492,4.846186262115466
46,rideshare,5626,29072,193.51953769950467
46,taxi,52,29072,1.7886626307099616
47,rideshare,1204,2229,540.1525347689546
47,taxi,29,2229,13.01031852848811
48,rideshare,2384,12078,197.38367279350885
48,taxi,78,12078,6.458022851465475
49,rideshare,11638,37660,309.028146574615
49,taxi,390,37660,10.355815188528943
50,rideshare,4365,6851,637.1332652167567
50,taxi,193,6851,28.171069916800466
51,rideshare,4327,15100,286.55629139072846
51,taxi,154,15100,10.198675496688741
52,rideshare,116,23629,4.9092217190740195
52,taxi,14,23629,0.5924922764399678
53,rideshare,4353,25159,173.019595373425
53,taxi,328,25159,13.037084144838825
54,rideshare,1928,7740,249.09560723514213
54,taxi,87,7740,11.24031007751938
55,rideshare,336,8895,37.77403035413154
55,taxi,42,8895,4.7217537942664425
56,rideshare,39854,36265,1098.9659451261546
56,taxi,728,36265,20.074451950916863
57,rideshare,2197,13875,158.34234234234233
57,taxi,24,13875,1.7297297297297296
58,rideshare,5239,42360,123.67799811142588
58,taxi,51,42360,1.2039660056657224
59,rideshare,3788,15400,245.97402597402598
59,taxi,247,15400,16.03896103896104
60,rideshare,9835,33012,297.92196776929603
60,taxi,80,33012,2.423361201987156
61,rideshare,5722,40843,140.09744631883063
61,taxi,91,40843,2.2280439732634725
62,rideshare,1494,18201,82.08340201087852
62,taxi,10,18201,0.5494203615185979
63,rideshare,3454,34650,99.68253968253968
63,taxi,10,34650,0.2886002886002886
64,rideshare,763,24710,30.878186968838524
64,taxi,14,24710,0.56657223796034
65,rideshare,3209,32451,98.88755354226372
65,taxi,10,32451,0.3081569135003544
66,rideshare,9107,52245,174.31333141927456
66,taxi,23,52245,0.4402335151689157
67,rideshare,3452,25971,132.91748488698934
67,taxi,52,25971,2.0022332601748105
68,rideshare,10477,21337,491.0249800815485
68,taxi,232,21337,10.873131180578339
69,rideshare,15288,29052,526.2288310615448
69,taxi,537,29052,18.484097480380008
70,rideshare,3997,42842,93.29629802530228
70,taxi,22,42842,0.5135147752205779
71,rideshare,14606,46483,314.22240388959403
71,taxi,98,46483,2.1082976572080114
72,rideshare,1122,19811,56.63520266518601
72,taxi,33,19811,1.665741254858412
73,rideshare,6122,26310,232.68719118206005
73,taxi,232,26310,8.817939946788293
74,rideshare,493,19107,25.802062071492124
74,taxi,1,19107,0.052336839901606744
75,rideshare,4599,21288,216.03720405862458
75,taxi,247,21288,11.602780909432544
76,rideshare,122109,16281,7500.092131932928
76,taxi,3870,16281,237.7003869541183
77,rideshare,52148,47484,1098.2225591778283
77,taxi,2039,47484,42.940780052228114
